# 夢の全記録（ロングラン#3・events.jsonl e=dream・run窓内）
# 形式: 時刻 | 村人 | 心に残った語×3 | 夢の内容（過去エピソードの再結合。空=語のみの夜）

00:46:22 | 岩瀬ヒナ#4ed | オーク / 北東の採石場 / 石のツルハシ | 
00:46:22 | 秋山リン#0bd | 東の採石場 / 銅鉱石 / cobblestone | 
00:46:41 | 西森マナ#e5d | 鉄鉱石 / 石のツルハシ / 北の採石場 | 
00:46:42 | 牧野マオ#a4b | 石のツルハシ / 北西の採石場 / チェスト | 
00:47:07 | 東雲ノブ#af2 | 南西の採石場 / oak_log / チェスト | 
00:47:12 | 浜田カナ#de9 | 北東の採石場 / 石のツルハシ / 整理整頓 | 
00:47:34 | 北原エル#bc0 | 南の採石場 / かまど / 木材集め | 
00:47:40 | 上原オト#4d4 | 石のツルハシ / 拠点の建設 / 屋根の設置作業 | 
00:48:01 | 小柳クウ#c4b | 西の採石場 / 鉄鉱石 / 水野ユウ | 
00:48:05 | 青木エマ#147 | 石のツルハシ / 管理体制 / チェスト | 
00:48:31 | 千葉ミオ#806 | 石のツルハシ / 管理エリア / 鉄鉱石 | 
00:48:34 | 柏木サヤ#9e5 | 瀬川ノア / チェスト / オークの原木 | 
00:48:45 | 桜井ライ#d71 | 木製のツルハシ / 未踏の地表 / 牧場 | 
00:48:53 | 風間ヨル#e16 | チェスト / 採石場 / cooked_mutton | 
00:49:11 | 真砂ホシ#7d9 | 石のツルハシ / 東の採石場 / 秋山リン | 
00:49:15 | 黒木リオ#98b | 石のツルハシ / 採石場 / 鉄 | 
00:49:30 | 水野ユウ#a37 | 木の斧 / 北の採石場 / 小柳クウ | 
00:49:48 | 川原ハク#f21 | 北東の採石場 / 石のツルハシ / オークの原木 | 
00:50:03 | 瀬川ノア#d3f | 南の採石場 / 木製のツルハシ / 鶏の誘導 | 
00:50:20 | 尾崎ワカ#644 | 未踏の地 / 石器時代 / 牧場 | 
00:50:27 | 沼田ミネ#72d | 北西の採石場 / 石のツルハシ / 効率化 | 
00:50:43 | 南田ネム#747 | 石のツルハシ / 北西の牧場 / 鶏 | 
00:50:46 | 石川コウ#fe8 | 石のツルハシ / 東の採石場 / 石材 | 
00:51:01 | 堀内サト#a0c | 梅木ボブ / 採石場 / 未踏の地表 | 
00:51:13 | 梅木ボブ#f4a | 東の採石場 / 看板 / 石のツルハシ | 
00:51:36 | 深沢ナオ#302 | 北西の採石場 / 鶏 / 壁 | 
00:51:51 | 岸辺レン#85a | 石のツルハシ / チェスト / 採石場 | 
00:51:55 | 森野アオ#cdb | オーク / 石のツルハシ / 採石場 | 
00:52:19 | 杉本モモ#1eb | 西の採石場 / 銅鉱石 / 看板 | 
00:52:28 | 望月シオ#fa4 | 偵察 / 東の採石場 / 鉄鉱石 | 
00:52:39 | 立花キリ#c2f | チェスト / 深沢ナオ / 鉄鉱石 | 
00:52:55 | 山田セナ#c51 | 石のツルハシ / 北側の採石場 / 石材 | 
01:05:02 | 秋山リン#0bd | 松明 / 東の採石場 / 小柳クウ | 新しい家ができている（南西 約42m）。上原オト#4d4が作った物のようだ
01:06:10 | 梅木ボブ#f4a | 採石場の乱立 / 石材確保 / 悲鳴 | 新しい採石場ができている（南東 約13m）
01:06:27 | 岩瀬ヒナ#4ed | 城 / 北西の採石場 / 風間ヨル | 新しい畑ができている（南東 約26m）。柏木サヤ#9e5が作った物のようだ
01:06:36 | 西森マナ#e5d | 鉄鉱石 / オークの原木 / 悲鳴 | 新しい採石場ができている（北 約5m）
01:06:47 | 堀内サト#a0c | ボート / 原木 / 未踏の地表 | 新しい採石場ができている（東 約20m）
01:06:53 | 牧野マオ#a4b | 松明 / 資材整理 / 北西の採石場 | 新しい家ができている（南 約39m）。上原オト#4d4が作った物のようだ
01:07:31 | 東雲ノブ#af2 | 資材整理 / 松明 / 小柳クウ | 新しい採石場ができている（北 約15m）
01:07:40 | 浜田カナ#de9 | 効率 / 採石場 / 城 | 新しい家ができている（南東 約30m）。上原オト#4d4が作った物のようだ
01:07:58 | 小柳クウ#c4b | 採石場 / 秋山リン / 石のツルハシ | 新しい採石場ができている（南 約15m）
01:08:09 | 岸辺レン#85a | 北東の採石場 / 沼田ミネ / オークの原木 | 新しい採石場ができている（北東 約16m）
